copyid,condition,price,signed,dustjacket,binding,description
30699156943,VERY GOOD,US$ 3.61,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30265372055,New,US$ 42.29,0,0,leather bound,"CHOOSE ANY LEATHER COLOR OF YOUR CHOICE WITHOUT ANY EXTRA CHARGES, JUST OPEN ""View Larger Image"" BUTTON JUST BELOW THE BOOK IMAGE AND MAIL US YOUR CHOICE. Our book has Leather Binding on Spine and Corners with Golden Leaf Printing on round Spine. Reprinted in (2020) with the help of original edition published long back (1824). This book is printed in black & white, sewing binding for longer life, Printed on high quality Paper, re-sized as per Current standards, professionally processed without changing its contents. As these are old books, we processed each page manually and make them readable but in some cases some pages are blur or missing or black spots. If it is multi volume set, then it is only single volume, if you wish to order a specific or all the volumes you may contact us. We expect that you will understand our compulsion in these books. We found this book important for the readers who want to know more about our old treasure so we brought it back to the shelves. Hope you will like it and give your comments and suggestions. Lang: -English , Pages 460 , Print on Demand.{FOLIO EDITION IS ALSO AVAILABLE.};"
22879541801,Very Good,US$ 6.49,0,0,0,.
30712311881,New,US$ 1.01,0,0,0,pp. 128.
30015358564,GOOD,US$ 3.97,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
30287592558,Good,US$ 6.49,0,0,0,.
30749797369,Very Good,US$ 4.70,0,0,0,Great condition for a used book! Minimal wear.
30697816940,GOOD,US$ 3.51,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
30570556952,As New,US$ 6.66,0,0,0,Unread book in perfect condition.
30095683067,Very Good,US$ 13.00,0,Fair,hardcover,"This title is # 27 in the publisher's Vision Books. The cover has green cloth with black lettering and a vignette. Twelve chapters, each with a b/w illustration at the head. Three board corners are a little bumped. The cover's corners have a little color loss from shelf wear rubbing. DJ: The publisher's $1.95 is on the front flap. The spine panel has a vertical crease line and has foxing on the reverse side. The top and bottom edges have 8 chips, up to a linear 2 1/2 in., and 14 closed tears, up to 5/8 in. The front flap's fold has 3 closed tears across it, up to 1 1/8 in. The front panel has crease lines on three corners and a linear 3/4 in. scrape on a corner. The back panel is a little darkened from shelf wear soiling. Scans e-mailed upon request."
30652067418,GOOD,US$ 4.19,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
30028993415,Good,US$ 4.19,0,0,0,.
30359738117,Good,US$ 19.95,0,Good,hardcover,"Good condition. Light to moderate shelf wear, creasing on covers. Binding intact. Good condition Dust Jacket Included. DJ has light to moderate shelf wear, rubbing. [K98]."
30329763735,VERY GOOD,US$ 6.54,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30737698817,Good,US$ 4.00,0,0,0,"Former Library book. Shows some signs of wear, and may have some markings on the inside."
30686232758,GOOD,US$ 3.61,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
30425838269,Very Good-,US$ 10.00,0,0,single issue magazine,"Vol. 1, No. 3. Edited by Paul W. Fairman. Cover art by Henry Jones for ""Let My People Go"" (novel) by Walter Miller, Jr. Includes ""And That's How It Was, Officer"" (novelette) by Ralph Sholto; ""The One and the Many"" by Milton Lesser; ""Hoiman and the Solar Circuit"" by Gordon Dewey; ""Robots of the World! Arise!"" by Mari Wolf; ""Vital Ingredient' by Charles V. De Vet; ""The Terrible Answer"" by Athur G. Hill; ""McIlviane's Star"" by August Derleth; ""The Smiler' by Albert Hernhunter. Features: ""A Chat With the Editor""; ""Guest Editorial"" by Sam Merwin, Jr.; ""Personalities in Science Fiction"" featuring Charles Fort; ""Science Briefs"" by Ezra Shaw; ""The Postman Cometh. Illustrated by H. Marx, Stan, Bob Martin, and others. Spine has been wet with staining; tanning; a little foxing and creasing."
30737743689,Good,US$ 4.70,0,0,0,"Shows some signs of wear, and may have some markings on the inside."
30183179393,VERY GOOD,US$ 3.79,0,0,hardcover,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30320983832,Good,US$ 4.50,0,0,paperback,"Book is in good condition, cover has some wear along the edges and corners."
30137478754,0,US$ 6.00,0,0,paperback,"43-321, very good -fine, , reading crease (FANTASY NOVEL), paperback,"
6774804172,0,US$ 4.01,0,0,0,VERY GOOD condition.
22648683565,Very Good,US$ 9.00,0,0,paperback,"Now bagged in mylar protective pocket. Very light edge and corner wear. Back cover and spine tanned. Interior clean and unmarked, binding like new. Mockingbird Books has two brick and mortar used book stores located in Sebastopol and Guerneville California. We carefully inspect all our books for condition. You can trust our listing is accurate and all our offerings are correctly assessed."
22494417343,VERY GOOD+,US$ 19.95,0,0,paperback,"Tight, faint age tanning of pages, clean, square. Light rubbing to cover edges. 2 scifi novels. ""Find the Gates of Death - and live!"" (Talisman). ""Behind the banner of eternal life lies eternal horror. (Sinharat). 4.25x6.5x.6."
8246190622,Very Good,US$ 11.25,0,0,hardcover,green cloth binding.
30604786599,Good,US$ 2.99,0,0,paperback,"Connecting readers with great books since 1972. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, may not include cdrom or access codes. Customer service is our top priority!."
22513525406,Good,US$ 18.00,0,0,0,"Reprint. Good plus bumping of corners/ends, tearing of cloth on top corner of front panel, back corner of top spine end chipped off, light soiling of panels/spine, brown stain on front panel, scuffing of front spine hinge. Please Note: This book has been transferred to Between the Covers from another database and might not be described to our usual standards. Please inquire for more detailed condition information."
5832979961,VG+,US$ 7.00,0,0,paperback,
2795338706,Very Good,US$ 10.00,0,0,paperback,Spine tight and square with light stress lines noticeable. Few light creases or bends in the covers. Pages lightly age toned. Light wear noticeable mostly on extremities. Ace Double #F-187. 1st printing. Jack Gaughan & Richard Powers covers.
30381402514,Good,US$ 2.50,0,0,paperback,"Connecting readers with great books since 1972. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, may not include cdrom or access codes. Customer service is our top priority!."
30429762138,0,US$ 15.93,0,0,hardcover,1917 RPT WEAR EDGES /CORNERS O/W VG GREEN /GILT DEC BOARDS.
998637035,Very Good,US$ 25.00,0,0,single issue magazine,"Vol. 42, No. 4. Pulp magazine. Edited by D. McIlwraith. Cover art by Boris Dolgov for ""Tell Your Fortune"" (novelette) by Robert Bloch. Includes ""Djinn and Bitters"" (novelette) by Harold Lawlor; ""The Round Tower"" by Stanton A. Coblentz; ""The Last Man"" by Seabury Quinn; ""The Triangle of Terror"" by William F. Temple; ""The Monkey Spoons"" by Mary Elizabeth Counselman; ""The Last three Ships"" by Margaret St. Clair; ""At the End of the Corridor"" by Evangeline Walton; ""The Man on B-17"" by Stephen Grendon [August Derleth]; ""Mr. Hyde - and Seek"" by Malcolm M. Ferguson. Verse: ""Luna Aeteralis"" by Clark Ashton Smith. Illustrated by John Giunta, John Arfstrom, Vincent Napoli, Fred Humiston, Boris Dolgov, and Matt Fox. Dealer's mark on cover; old glue repair at spine head has caused fading at head of backstrip; some creasing and minor closed tears at front foredge."
2671035441,Very Good,US$ 10.00,0,0,paperback,"Includes Arthur C. Clarke, Willaim Tenn, Theodore Sturgeon, Fritz Leiber, and others."
3654291430,Very Good,US$ 50.00,0,0,original printed wrappers,Text in Danish. Spine top very slightly worn.
30137539540,0,US$ 8.00,0,0,0,near fine No. 24334. First printing.
30137477804,0,US$ 6.00,0,0,paperback,"74722 very good -fine, reading crease PBO. Cover art by Behan. paperback,"
30686147550,Good,US$ 2.95,0,0,paperback,"Connecting readers with great books since 1972. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, may not include cdrom or access codes. Customer service is our top priority!."
30699880571,POOR,US$ 3.51,0,0,paperback,"Noticeably used book. Heavy wear to cover. Pages contain marginal notes, underlining, and or highlighting. Possible ex library copy, with all the markings/stickers of that library. Accessories such as CD, codes, toys, and dust jackets may not be included."
30037449660,Good,US$ 35.46,0,0,hardcover,A+ Customer service! Satisfaction Guaranteed! Book is in Used-Good condition. Pages and cover are clean and intact. Used items may not include supplementary materials such as CDs or access codes. May show signs of minor shelf wear and contain limited notes and highlighting.
30407712304,Good,US$ 7.39,0,0,no binding,A+ Customer service! Satisfaction Guaranteed! Book is in Used-Good condition. Pages and cover are clean and intact. Used items may not include supplementary materials such as CDs or access codes. May show signs of minor shelf wear and contain limited notes and highlighting.
30282570146,Fair (see description),US$ 17.95,Not Signed,0,pulp,"--------------pulp, about 8.5 x 11.5 inches, a fair copy only, 50% of the spine is gone, covers are threatening to detach, tape on the spine in a couple of spots, browning to the paper, a filler copy, any image directly beside this listing is the actual book and not a generic photo ///NOT SIGNED ---GUARANTEED to be AVAILABLE/// Size: 8.75w x 11.5h Inches."
30737194530,Good,US$ 4.00,0,0,0,"Shows some signs of wear, and may have some markings on the inside."
30736082254,Good,US$ 7.97,0,0,paperback,"Connecting readers with great books since 1972. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, may not include cdrom or access codes. Customer service is our top priority!."
30648474659,VERY GOOD,US$ 3.61,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30137491656,0,US$ 6.00,0,0,paperback,"43-461 very good - fine, reading crease paperback,"
30406109942,Good,US$ 11.26,0,0,paperback,A+ Customer service! Satisfaction Guaranteed! Book is in Used-Good condition. Pages and cover are clean and intact. Used items may not include supplementary materials such as CDs or access codes. May show signs of minor shelf wear and contain limited notes and highlighting.
30733118490,Good,US$ 4.55,0,0,0,"Shows some signs of wear, and may have some markings on the inside."
30053403427,Good,US$ 4.19,0,0,0,. Writing inside.
30602634771,Very Good,US$ 25.00,0,0,cloth,"Sloan and Pearce, New York, 1958. First Edition (stated on copyrite page) turquiose cloth Hardcover, no DJ, 196 pp. First of the popular 'Steve and Sim' adventures for young readers. Steven Grendon (Derleth's most common non de plume) and pal Sim, like Huck Finn, take a raft trip and find trouble and adventure. Exccept for my name stamp on FFEP, this is a nice clean copy of an uncommon title in the true first edition. Size: Octavo."
19062008056,0,US$ 20.00,0,Dust Jacket Included,hardcover first printing,"Brown cloth over decorated paper-covered boards, fine in fine price-clipped dust jacket."
30137494440,0,US$ 4.00,0,0,paperback,"G-189, good - very good (ANTHOLOGY OF 10 STORIES), paperback,"
18458388866,Very Good+ to Near Fine,US$ 7.00,0,0,single issue magazine,"Vol. 17, No. 1. Edited by Frederik Pohl. Cover art by Morrow for ""The Iron Thorn"" (pt. 1 of 4) by Algis Budrys. Includes ""A Hair Perhaps"" (novelette) by J. F. Bone; ""The Scared Starship"" (novelette) by D. M. Melton; ""On the Shallow Seas"" (novelette) by Robert Mason; ""Snow White and the Giants"" (pt. 4 of 4) by J. T. McIntosh; ""By the Seawall"" by Robert Silverberg; ""The Impersonators"" by C. C. MacApp. Features: ""Editorial: H. G. Wells Plus 100""; ""-Still More Fandoms"" by Lin Carter; ""Hue and Cry"". Illustrated by Morrow, Bode, Nodel, Burns, and Gaughan. Edgewear; minor scuffs and tiny tears; tanning."
10436241196,0,US$ 12.00,0,0,hardcover,"Green cloth over boards. old spine titles, cover art. 957 p., [25] leaves of plates; genealogy tables, maps. 21 cm. Grayscale w/ yellow Illustrations, Maps, Genealogical tables. Boston native Thomas Bulfinch (1796-1867) authored 7 works, of which 3 are herein, as well as the Author's Preface. Educated at Harvard, and employed as a teacher and banker-accountant, Bulfinch's classical research and compilations have long been a standard in education. The Publisher's Preface with this edition notes the volume has held to the original works with some additional legends and notes believed to be in keeping with Bulfinch's intent. Contents: Stories of Gods and Heroes; King Arthur and His Knights; The Mabinogeon; Hero Myths of the British Race; Legends of Charlemagne; Proverbial Expressions; List of Illustrative Passages Quoted from the Poets; Dictionary and Index. Very good in good dust jacket. Jacket has spine end chips, and edge wear at stress points. It has well-protected the book volume cover. 1 0.0."
30739474960,Good,US$ 4.00,0,0,0,"Shows some signs of wear, and may have some markings on the inside."
30137473206,0,US$ 7.00,0,0,paperback,"75781, almost near fine, science fiction, paperback,"
30739083505,Very Good,US$ 4.00,0,0,0,Great condition for a used book! Minimal wear.
30644172242,As New,US$ 8.05,0,0,0,Unread book in perfect condition.
30739950352,Good,US$ 4.00,0,0,0,"Former Library book. Shows some signs of wear, and may have some markings on the inside."
30121598318,Acceptable,US$ 1.23,0,0,0,Ships same or next business day with delivery confirmation. Acceptable condition. Contains highlighting. Expedited shipping available.
30575915990,VERY GOOD,US$ 3.42,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30717116979,Good,US$ 2.74,0,0,paperback,"Connecting readers with great books since 1972. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, may not include cdrom or access codes. Customer service is our top priority!."
30203092696,Very Good,US$ 6.74,0,0,paperback,"A copy that has been read, but remains in excellent condition. Pages are intact and are not marred by notes or highlighting, but may contain a neat previous owner name. The spine remains undamaged. An ex-library book and may have standard library stamps and/or stickers. At ThriftBooks, our motto is: Read More, Spend Less."
30744988985,VERY GOOD,US$ 3.89,0,0,hardcover,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30310720384,Fair,US$ 3.50,0,0,paperback,Cover price $1.25. This copy is in Fair - Reading Copy Only.
30647132083,Good,US$ 8.39,0,Dust Jacket Included,hardcover,. Good dust jacket. Hardcover edition.
30669036419,Good,US$ 1.50,0,0,paperback,12TH PRINTING. COVER HAS SOME CREASING AND SHELF WEAR. 276 PAGE TEXT HAS ONLY LIGHT WEAR. MYSTERY. 4.25'' X 7''. WE USE BUBBLE MAILERS.
30268656684,New,US$ 42.88,0,0,leather bound,"CHOOSE ANY LEATHER COLOR OF YOUR CHOICE WITHOUT ANY EXTRA CHARGES, JUST OPEN ""View Larger Image"" BUTTON JUST BELOW THE BOOK IMAGE AND MAIL US YOUR CHOICE. Our book has Leather Binding on Spine and Corners with Golden Leaf Printing on round Spine. Reprinted in (2018) with the help of original edition published long back (1883). This book is printed in black & white, sewing binding for longer life, Printed on high quality Paper, re-sized as per Current standards, professionally processed without changing its contents. As these are old books, we processed each page manually and make them readable but in some cases some pages are blur or missing or black spots. If it is multi volume set, then it is only single volume, if you wish to order a specific or all the volumes you may contact us. We expect that you will understand our compulsion in these books. We found this book important for the readers who want to know more about our old treasure so we brought it back to the shelves. Hope you will like it and give your comments and suggestions. Lang: -eng , Pages 472 , Print on Demand.{FOLIO EDITION IS ALSO AVAILABLE.};"
30704861605,Very Good,US$ 3.95,0,0,0,"Item in very good condition! Textbooks may not include supplemental items i.e. CDs, access codes etc."
22615210486,Good,US$ 50.30,0,0,paperback,A+ Customer service! Satisfaction Guaranteed! Book is in Used-Good condition. Pages and cover are clean and intact. Used items may not include supplementary materials such as CDs or access codes. May show signs of minor shelf wear and contain limited notes and highlighting.
30531346651,GOOD,US$ 4.38,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
607648076,Good,US$ 24.00,0,Near Good,cloth,"Edited by Walter B. Rideout. A Romance of the Future Written in 1889. Slightly smaller book, fine red cloth with very bright gilt initials, very bright gilt on spine, pencil and stamped signature on first front end paper with stamp restricting copying material, 313 lightly browned pages, ink and pencil lines in many margins throughout, some underlining too. DJ heavy brown paper with jagged red illustration of mob scene on front, stamped name at top front and spine length, blue pencil notes inside front flap. DJ has slight wear to tips, microtear and micronick at spine top edge, micronick and light wear to spine bottom edges. Near Good DJ/Good book."
30708361006,"Fair to Good, Reading Copy",US$ 19.00,0,0,paperback,"255 pages. with 18 short stories. >> This is a readig copy. Cover creasing ; interior pages are wrinkled; staining to front cover & first few pages, but story is not effected. cover scuffing. Size: 12mo - over 6�"" - 7�"" Tall."
30266983201,New,US$ 29.77,0,0,leather bound,"CHOOSE ANY LEATHER COLOR OF YOUR CHOICE WITHOUT ANY EXTRA CHARGES, JUST OPEN ""View Larger Image"" BUTTON JUST BELOW THE BOOK IMAGE AND MAIL US YOUR CHOICE. Our book has Leather Binding on Spine and Corners with Golden Leaf Printing on round Spine. Reprinted in (1907) with the help of original edition published long back (1907). This book is printed in black & white, sewing binding for longer life, Printed on high quality Paper, re-sized as per Current standards, professionally processed without changing its contents. As these are old books, we processed each page manually and make them readable but in some cases some pages are blur or missing or black spots. If it is multi volume set, then it is only single volume, if you wish to order a specific or all the volumes you may contact us. We expect that you will understand our compulsion in these books. We found this book important for the readers who want to know more about our old treasure so we brought it back to the shelves. Hope you will like it and give your comments and suggestions. Lang: -eng , Pages 174 , Print on Demand.{FOLIO EDITION IS ALSO AVAILABLE.};"
30377938178,New,US$ 16.06,0,0,paperback,"Paperback. Science fiction has historically been seen as a masculine domain, but from the very beginning women have made their mark. To the ranks of Mary Shelley and C. L. Moore, we should add Clare .Shipping may be from multiple locations in the US or from the UK, depending on stock availability. 384 pages. 0.340."
30699305106,VERY GOOD,US$ 3.51,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30699458808,VERY GOOD,US$ 3.98,0,0,paperback,"Light rubbing wear to cover, spine and page edges. Very minimal writing or notations in margins not affecting the text. Possible clean ex-library copy, with their stickers and or stamp(s)."
30637134911,Very Good,US$ 3.50,0,0,paperback,"1st printing, Jan. 1976. Cover art by Dean Ellis. Tanning; minor creasing; minor cohesion flecks to rear; bame in pen inside cover."
30709737079,Good,US$ 6.47,0,0,0,"Item in good condition. Textbooks may not include supplemental items i.e. CDs, access codes etc."
30309832356,Fair,US$ 2.49,0,0,paperback,"Ballantine #24230. First Ballantine, first printing (October 1974). Cover art by James Steranko. 184 pages. A Fair reading copy only."
22299303321,Very Good,US$ 15.00,0,0,side-stapled,"Covered side stapled binding, has slight bumps to spine ends, some slight edgewear, and faint rubbing, otherwise a solid VG copy."
30595966061,POOR,US$ 11.10,0,0,paperback,"Noticeably used book. Heavy wear to cover. Pages contain marginal notes, underlining, and or highlighting. Possible ex library copy, with all the markings/stickers of that library. Accessories such as CD, codes, toys, and dust jackets may not be included."
30568793746,As New,US$ 13.04,0,0,0,Unread book in perfect condition.
30740400350,GOOD,US$ 3.98,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
30735397395,Good,0,0,0,0,0
30556606540,Good,0,0,0,paperback,0
30577545886,GOOD,US$ 4.69,0,0,paperback,"Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included."
22769487174,Fair,US$ 11.36,0,0,0,"Poor book. Pages loosening, front cover nearly detached. Browned. In polypropylene bag. Inquire if you need further information."
